temperature,rainfall,humidity,yield_apples
48.00 , 76.00 , 85.00 , 66.40
82.00 , 91.00 , 95.00 , 81.70
48.00 , 24.00 , 45.00 , 34.80
98.00 , 42.00 , 28.00 , 43.40
76.00 , 81.00 , 31.00 , 51.90
93.00 , 91.00 , 88.00 , 81.10
84.00 , 48.00 , 57.00 , 54.00
73.00 , 48.00 , 64.00 , 54.60
55.00 , 37.00 , 46.00 , 40.50
74.00 , 92.00 , 90.00 , 78.40
23.00 , 44.00 , 90.00 , 53.80
52.00 , 86.00 , 41.00 , 52.60
76.00 , 79.00 , 25.00 , 48.90
51.00 , 22.00 , 86.00 , 51.20
25.00 , 77.00 , 78.00 , 59.30
94.00 , 65.00 , 74.00 , 67.90
39.00 , 32.00 , 29.00 , 29.00
87.00 , 86.00 , 100.00 , 83.20
51.00 , 70.00 , 29.00 , 42.80
40.00 , 40.00 , 75.00 , 50.00
37.00 , 55.00 , 69.00 , 51.50
57.00 , 28.00 , 25.00 , 29.80
65.00 , 63.00 , 51.00 , 52.30
42.00 , 77.00 , 71.00 , 59.90
64.00 , 83.00 , 72.00 , 66.50
61.00 , 80.00 , 36.00 , 50.60
98.00 , 89.00 , 50.00 , 66.30
66.00 , 86.00 , 77.00 , 69.80
35.00 , 76.00 , 96.00 , 68.20
30.00 , 57.00 , 38.00 , 38.30
38.00 , 97.00 , 98.00 , 75.90
100.00 , 73.00 , 22.00 , 50.70
20.00 , 97.00 , 79.00 , 64.70
51.00 , 66.00 , 100.00 , 70.00
33.00 , 62.00 , 31.00 , 37.60
58.00 , 41.00 , 37.00 , 38.70
35.00 , 95.00 , 25.00 , 45.50
77.00 , 34.00 , 64.00 , 51.20
49.00 , 48.00 , 86.00 , 58.60
61.00 , 28.00 , 55.00 , 42.60
27.00 , 55.00 , 86.00 , 56.30
67.00 , 69.00 , 23.00 , 43.30
55.00 , 79.00 , 79.00 , 66.30
25.00 , 98.00 , 72.00 , 63.20
27.00 , 60.00 , 40.00 , 39.40
40.00 , 93.00 , 82.00 , 68.70
33.00 , 58.00 , 75.00 , 54.00
85.00 , 95.00 , 73.00 , 74.70
79.00 , 50.00 , 47.00 , 49.60
79.00 , 21.00 , 22.00 , 30.90
39.00 , 22.00 , 76.00 , 44.80
25.00 , 85.00 , 78.00 , 61.70
81.00 , 96.00 , 63.00 , 70.20
90.00 , 76.00 , 61.00 , 65.20
58.00 , 31.00 , 27.00 , 31.70
49.00 , 40.00 , 34.00 , 35.40
60.00 , 35.00 , 43.00 , 39.70
63.00 , 85.00 , 56.00 , 60.50
28.00 , 32.00 , 28.00 , 26.40
46.00 , 54.00 , 57.00 , 48.20
36.00 , 52.00 , 96.00 , 61.20
82.00 , 74.00 , 44.00 , 56.20
48.00 , 35.00 , 35.00 , 34.10
96.00 , 30.00 , 25.00 , 38.20
65.00 , 83.00 , 77.00 , 68.70
80.00 , 63.00 , 51.00 , 55.30
85.00 , 96.00 , 78.00 , 77.00
83.00 , 42.00 , 83.00 , 62.40
84.00 , 25.00 , 72.00 , 53.10
54.00 , 60.00 , 80.00 , 60.80
62.00 , 70.00 , 97.00 , 72.20
79.00 , 63.00 , 57.00 , 57.50
58.00 , 81.00 , 43.00 , 53.10
30.00 , 40.00 , 72.00 , 46.80
86.00 , 89.00 , 23.00 , 53.10
80.00 , 35.00 , 49.00 , 46.10
69.00 , 60.00 , 85.00 , 65.80
42.00 , 48.00 , 94.00 , 60.40
36.00 , 99.00 , 49.00 , 56.50
58.00 , 98.00 , 22.00 , 49.80
56.00 , 90.00 , 91.00 , 74.60
57.00 , 95.00 , 88.00 , 75.10
21.00 , 30.00 , 30.00 , 25.20
80.00 , 86.00 , 80.00 , 73.80
21.00 , 80.00 , 83.00 , 61.40
92.00 , 28.00 , 89.00 , 62.40
78.00 , 51.00 , 29.00 , 42.50
38.00 , 32.00 , 36.00 , 31.60
90.00 , 81.00 , 58.00 , 65.50
56.00 , 30.00 , 72.00 , 49.00
44.00 , 26.00 , 21.00 , 25.00
68.00 , 99.00 , 35.00 , 57.30
55.00 , 24.00 , 63.00 , 43.40
45.00 , 27.00 , 45.00 , 35.10
30.00 , 28.00 , 51.00 , 34.80
71.00 , 65.00 , 45.00 , 51.70
52.00 , 76.00 , 22.00 , 42.00
68.00 , 40.00 , 86.00 , 60.00
76.00 , 35.00 , 57.00 , 48.50
60.00 , 70.00 , 32.00 , 45.80
41.00 , 59.00 , 21.00 , 34.30
83.00 , 40.00 , 21.00 , 37.00
99.00 , 61.00 , 53.00 , 59.30
71.00 , 72.00 , 95.00 , 73.80
49.00 , 68.00 , 86.00 , 64.60
21.00 , 96.00 , 79.00 , 64.60
47.00 , 31.00 , 51.00 , 39.10
90.00 , 69.00 , 100.00 , 78.70
34.00 , 71.00 , 26.00 , 38.50
68.00 , 81.00 , 71.00 , 66.30
22.00 , 33.00 , 64.00 , 39.90
54.00 , 61.00 , 35.00 , 43.10
67.00 , 41.00 , 45.00 , 43.70
94.00 , 81.00 , 20.00 , 51.10
91.00 , 99.00 , 66.00 , 74.30
57.00 , 25.00 , 95.00 , 56.90
38.00 , 66.00 , 65.00 , 53.40
73.00 , 47.00 , 45.00 , 46.70
83.00 , 52.00 , 54.00 , 53.80
41.00 , 36.00 , 44.00 , 36.60
88.00 , 82.00 , 27.00 , 53.00
43.00 , 47.00 , 28.00 , 33.90
23.00 , 24.00 , 94.00 , 49.40
26.00 , 98.00 , 31.00 , 47.00
81.00 , 44.00 , 24.00 , 39.00
53.00 , 96.00 , 72.00 , 68.20
30.00 , 84.00 , 91.00 , 67.60
29.00 , 42.00 , 41.00 , 34.80
61.00 , 27.00 , 66.00 , 46.70
47.00 , 82.00 , 24.00 , 43.60
25.00 , 63.00 , 98.00 , 63.10
54.00 , 65.00 , 73.00 , 59.50
54.00 , 79.00 , 71.00 , 62.90
98.00 , 78.00 , 94.00 , 80.60
35.00 , 41.00 , 53.00 , 40.50
56.00 , 22.00 , 26.00 , 28.20
86.00 , 30.00 , 99.00 , 65.80
76.00 , 23.00 , 96.00 , 60.50
64.00 , 90.00 , 80.00 , 71.80
42.00 , 99.00 , 46.00 , 56.50
47.00 , 66.00 , 31.00 , 41.60
72.00 , 78.00 , 73.00 , 67.00
34.00 , 33.00 , 99.00 , 56.30
67.00 , 74.00 , 51.00 , 56.00
64.00 , 94.00 , 35.00 , 55.00
42.00 , 87.00 , 52.00 , 55.30
89.00 , 81.00 , 74.00 , 71.70
92.00 , 90.00 , 93.00 , 82.60
86.00 , 64.00 , 99.00 , 76.00
76.00 , 20.00 , 68.00 , 48.40
95.00 , 69.00 , 42.00 , 56.50
53.00 , 77.00 , 46.00 , 52.10
45.00 , 34.00 , 83.00 , 52.40
54.00 , 66.00 , 30.00 , 42.60
36.00 , 34.00 , 25.00 , 27.40
65.00 , 96.00 , 23.00 , 51.00
78.00 , 93.00 , 95.00 , 81.50
50.00 , 35.00 , 66.00 , 46.90
94.00 , 35.00 , 67.00 , 56.10
77.00 , 76.00 , 57.00 , 61.00
95.00 , 61.00 , 66.00 , 63.70
99.00 , 96.00 , 97.00 , 87.40
20.00 , 28.00 , 37.00 , 27.20
70.00 , 25.00 , 34.00 , 35.10
20.00 , 74.00 , 57.00 , 49.00
26.00 , 39.00 , 53.00 , 38.10
65.00 , 74.00 , 93.00 , 72.40
54.00 , 83.00 , 98.00 , 74.90
26.00 , 25.00 , 88.00 , 47.90
69.00 , 80.00 , 41.00 , 54.20
41.00 , 75.00 , 93.00 , 67.90
68.00 , 64.00 , 99.00 , 72.40
88.00 , 66.00 , 90.00 , 73.40
81.00 , 88.00 , 39.00 , 58.20
65.00 , 34.00 , 32.00 , 36.00
85.00 , 59.00 , 38.00 , 49.90
34.00 , 83.00 , 67.00 , 58.50
92.00 , 22.00 , 47.00 , 43.80
92.00 , 59.00 , 78.00 , 67.30
72.00 , 25.00 , 66.00 , 48.30
94.00 , 68.00 , 25.00 , 49.20
65.00 , 82.00 , 91.00 , 74.00
65.00 , 96.00 , 48.00 , 61.00
29.00 , 54.00 , 24.00 , 31.60
68.00 , 52.00 , 60.00 , 53.20
57.00 , 71.00 , 85.00 , 66.70
72.00 , 95.00 , 52.00 , 63.70
39.00 , 21.00 , 27.00 , 24.90
39.00 , 54.00 , 37.00 , 38.80
77.00 , 32.00 , 45.00 , 43.00
89.00 , 88.00 , 45.00 , 62.20
36.00 , 97.00 , 21.00 , 44.70
26.00 , 78.00 , 46.00 , 47.00
73.00 , 96.00 , 87.00 , 78.20
23.00 , 45.00 , 72.00 , 46.90
69.00 , 43.00 , 34.00 , 40.30
85.00 , 55.00 , 96.00 , 71.90
81.00 , 97.00 , 75.00 , 75.30
68.00 , 72.00 , 85.00 , 69.20
21.00 , 22.00 , 64.00 , 36.40
50.00 , 22.00 , 95.00 , 54.60
53.00 , 93.00 , 28.00 , 49.70
85.00 , 100.00 , 32.00 , 59.80
56.00 , 58.00 , 47.00 , 47.40
42.00 , 61.00 , 44.00 , 44.30
56.00 , 82.00 , 38.00 , 51.00
96.00 , 43.00 , 59.00 , 55.70
46.00 , 75.00 , 56.00 , 54.10
76.00 , 21.00 , 71.00 , 49.90
89.00 , 72.00 , 32.00 , 52.20
45.00 , 72.00 , 90.00 , 66.60
47.00 , 95.00 , 79.00 , 69.50
98.00 , 50.00 , 31.00 , 47.00
69.00 , 32.00 , 54.00 , 45.00
49.00 , 32.00 , 59.00 , 43.00
76.00 , 48.00 , 64.00 , 55.20
76.00 , 51.00 , 62.00 , 55.30
34.00 , 71.00 , 49.00 , 47.70
71.00 , 34.00 , 83.00 , 57.60
22.00 , 48.00 , 86.00 , 53.20
84.00 , 78.00 , 73.00 , 69.40
24.00 , 93.00 , 24.00 , 42.30
37.00 , 81.00 , 82.00 , 64.50
49.00 , 77.00 , 82.00 , 65.70
88.00 , 72.00 , 97.00 , 78.00
32.00 , 46.00 , 80.00 , 52.20
82.00 , 85.00 , 63.00 , 67.10
39.00 , 45.00 , 99.00 , 60.90
37.00 , 92.00 , 26.00 , 45.40
99.00 , 26.00 , 94.00 , 65.20
60.00 , 85.00 , 29.00 , 49.10
75.00 , 93.00 , 78.00 , 74.10
34.00 , 40.00 , 42.00 , 35.60
81.00 , 52.00 , 33.00 , 45.00
70.00 , 44.00 , 91.00 , 63.60
88.00 , 55.00 , 96.00 , 72.50
42.00 , 51.00 , 25.00 , 33.70
26.00 , 57.00 , 29.00 , 33.90
74.00 , 68.00 , 70.00 , 63.20
37.00 , 63.00 , 79.00 , 57.90
48.00 , 73.00 , 22.00 , 40.30
97.00 , 92.00 , 59.00 , 70.60
99.00 , 62.00 , 96.00 , 76.80
24.00 , 75.00 , 60.00 , 51.30
52.00 , 80.00 , 36.00 , 48.80
29.00 , 75.00 , 92.00 , 65.10
47.00 , 39.00 , 74.00 , 50.70
34.00 , 35.00 , 86.00 , 51.70
52.00 , 51.00 , 25.00 , 35.70
93.00 , 42.00 , 78.00 , 62.40
81.00 , 100.00 , 45.00 , 64.20
100.00 , 80.00 , 26.00 , 54.40
63.00 , 48.00 , 61.00 , 51.40
48.00 , 51.00 , 47.00 , 43.70
27.00 , 73.00 , 78.00 , 58.50
60.00 , 98.00 , 95.00 , 79.40
78.00 , 79.00 , 22.00 , 48.10
99.00 , 30.00 , 42.00 , 45.60
91.00 , 27.00 , 71.00 , 54.70
85.00 , 95.00 , 20.00 , 53.50
51.00 , 90.00 , 39.00 , 52.80
37.00 , 67.00 , 96.00 , 65.90
46.00 , 94.00 , 24.00 , 47.00
51.00 , 99.00 , 37.00 , 54.70
76.00 , 39.00 , 63.00 , 52.10
74.00 , 70.00 , 20.00 , 43.80
53.00 , 88.00 , 26.00 , 47.40
95.00 , 69.00 , 90.00 , 75.70
64.00 , 38.00 , 64.00 , 49.80
68.00 , 88.00 , 22.00 , 48.80
79.00 , 55.00 , 66.00 , 58.70
87.00 , 39.00 , 63.00 , 54.30
85.00 , 100.00 , 90.00 , 83.00
84.00 , 40.00 , 52.00 , 49.60
55.00 , 70.00 , 48.00 , 51.20
47.00 , 79.00 , 57.00 , 55.90
59.00 , 52.00 , 56.00 , 49.80
84.00 , 83.00 , 43.00 , 58.90
27.00 , 71.00 , 70.00 , 54.70
85.00 , 81.00 , 75.00 , 71.30
40.00 , 52.00 , 36.00 , 38.00
58.00 , 26.00 , 84.00 , 53.00
64.00 , 92.00 , 59.00 , 64.00
63.00 , 68.00 , 78.00 , 64.20
79.00 , 46.00 , 73.00 , 58.80
51.00 , 68.00 , 24.00 , 40.20
54.00 , 63.00 , 69.00 , 57.30
75.00 , 61.00 , 68.00 , 60.50
30.00 , 48.00 , 33.00 , 33.60
96.00 , 65.00 , 87.00 , 73.50
43.00 , 69.00 , 48.00 , 48.50
55.00 , 87.00 , 42.00 , 53.90
88.00 , 59.00 , 33.00 , 48.50
57.00 , 75.00 , 91.00 , 70.30
43.00 , 59.00 , 56.00 , 48.70
88.00 , 100.00 , 76.00 , 78.00
24.00 , 31.00 , 62.00 , 38.90
26.00 , 37.00 , 68.00 , 43.50
73.00 , 36.00 , 77.00 , 56.20
70.00 , 43.00 , 79.00 , 58.50
29.00 , 91.00 , 93.00 , 70.30
49.00 , 66.00 , 28.00 , 40.80
53.00 , 53.00 , 85.00 , 60.50
35.00 , 28.00 , 73.00 , 44.60
94.00 , 83.00 , 59.00 , 67.30
24.00 , 47.00 , 39.00 , 34.50
88.00 , 43.00 , 78.00 , 61.70
28.00 , 25.00 , 76.00 , 43.50
53.00 , 87.00 , 30.00 , 48.70
36.00 , 55.00 , 46.00 , 42.10
27.00 , 66.00 , 46.00 , 43.60
39.00 , 34.00 , 55.00 , 40.00
40.00 , 43.00 , 47.00 , 39.70
34.00 , 68.00 , 49.00 , 46.80
97.00 , 42.00 , 26.00 , 42.40
53.00 , 54.00 , 87.00 , 61.60
51.00 , 84.00 , 36.00 , 49.80
74.00 , 65.00 , 94.00 , 71.90
87.00 , 44.00 , 54.00 , 52.20
42.00 , 55.00 , 66.00 , 51.30
83.00 , 86.00 , 37.00 , 57.20
30.00 , 50.00 , 46.00 , 39.40
36.00 , 75.00 , 77.00 , 60.50
51.00 , 57.00 , 20.00 , 35.30
98.00 , 35.00 , 73.00 , 59.30
66.00 , 29.00 , 73.00 , 51.10
48.00 , 80.00 , 41.00 , 50.00
90.00 , 83.00 , 63.00 , 68.10
52.00 , 46.00 , 60.00 , 48.20
61.00 , 75.00 , 75.00 , 64.70
44.00 , 34.00 , 32.00 , 31.80
69.00 , 32.00 , 35.00 , 37.40
35.00 , 45.00 , 36.00 , 34.90
81.00 , 65.00 , 33.00 , 48.90
21.00 , 44.00 , 86.00 , 51.80
90.00 , 81.00 , 83.00 , 75.50
41.00 , 86.00 , 52.00 , 54.80
35.00 , 79.00 , 22.00 , 39.50
38.00 , 46.00 , 94.00 , 59.00
99.00 , 35.00 , 83.00 , 63.50
48.00 , 54.00 , 97.00 , 64.60
98.00 , 54.00 , 34.00 , 49.40
49.00 , 62.00 , 52.00 , 49.20
28.00 , 72.00 , 84.00 , 60.80
39.00 , 58.00 , 66.00 , 51.60
62.00 , 59.00 , 74.00 , 59.70
49.00 , 60.00 , 26.00 , 38.20
90.00 , 90.00 , 47.00 , 63.80
40.00 , 32.00 , 49.00 , 37.20
62.00 , 75.00 , 72.00 , 63.70
21.00 , 34.00 , 32.00 , 27.20
85.00 , 38.00 , 75.00 , 58.40
81.00 , 70.00 , 43.00 , 54.40
42.00 , 80.00 , 69.00 , 60.00
39.00 , 21.00 , 92.00 , 50.90
94.00 , 96.00 , 99.00 , 87.20
43.00 , 55.00 , 42.00 , 41.90
41.00 , 85.00 , 41.00 , 50.10
57.00 , 95.00 , 56.00 , 62.30
64.00 , 21.00 , 20.00 , 27.10
48.00 , 23.00 , 29.00 , 28.10
43.00 , 29.00 , 86.00 , 51.70
100.00 , 60.00 , 50.00 , 58.00
42.00 , 27.00 , 83.00 , 49.70
42.00 , 99.00 , 27.00 , 48.90
99.00 , 39.00 , 88.00 , 66.70
61.00 , 20.00 , 95.00 , 56.20
64.00 , 60.00 , 75.00 , 60.80
100.00 , 60.00 , 27.00 , 48.80
84.00 , 35.00 , 76.00 , 57.70
75.00 , 32.00 , 97.00 , 63.40
67.00 , 97.00 , 96.00 , 80.90
22.00 , 24.00 , 34.00 , 25.20
37.00 , 76.00 , 92.00 , 67.00
49.00 , 64.00 , 83.00 , 62.20
38.00 , 22.00 , 60.00 , 38.20
81.00 , 45.00 , 100.00 , 69.70
25.00 , 85.00 , 77.00 , 61.30
96.00 , 66.00 , 93.00 , 76.20
74.00 , 84.00 , 38.00 , 55.20
24.00 , 62.00 , 22.00 , 32.20
43.00 , 24.00 , 34.00 , 29.40
92.00 , 47.00 , 34.00 , 46.10
50.00 , 70.00 , 60.00 , 55.00
45.00 , 86.00 , 65.00 , 60.80
35.00 , 40.00 , 65.00 , 45.00
44.00 , 100.00 , 63.00 , 64.00
28.00 , 42.00 , 21.00 , 26.60
52.00 , 65.00 , 68.00 , 57.10
32.00 , 88.00 , 89.00 , 68.40
70.00 , 55.00 , 97.00 , 69.30
55.00 , 90.00 , 75.00 , 68.00
71.00 , 66.00 , 39.00 , 49.60
24.00 , 51.00 , 27.00 , 30.90
83.00 , 53.00 , 89.00 , 68.10
89.00 , 33.00 , 38.00 , 42.90
61.00 , 71.00 , 56.00 , 55.90
65.00 , 46.00 , 69.00 , 54.40
90.00 , 25.00 , 90.00 , 61.50
56.00 , 66.00 , 32.00 , 43.80
20.00 , 33.00 , 71.00 , 42.30
60.00 , 36.00 , 23.00 , 32.00
29.00 , 30.00 , 22.00 , 23.60
61.00 , 26.00 , 44.00 , 37.60
81.00 , 80.00 , 57.00 , 63.00
84.00 , 32.00 , 96.00 , 64.80
27.00 , 53.00 , 28.00 , 32.50
92.00 , 85.00 , 89.00 , 79.50
68.00 , 63.00 , 21.00 , 40.90
22.00 , 73.00 , 40.00 , 42.30
54.00 , 29.00 , 93.00 , 56.70
38.00 , 23.00 , 60.00 , 38.50
43.00 , 73.00 , 92.00 , 67.30
59.00 , 90.00 , 31.00 , 51.20
80.00 , 57.00 , 69.00 , 60.70
72.00 , 81.00 , 78.00 , 69.90
